DataSeriesID,SI_Mass,LnMass,Locomotor Trait,TraitValue,TempTraitValue,Temperature,TempKelvin,1/kT,TempType,Environment,TaxaID,Kingdom,Phylum,Class,Order,Family,Genus,Species,CommonName,Thermy,TrophicGroup
2870,2.4E-13,-29.0581374715687,Routine Speed,5.93E-05,3.47665168555187E-05,21,294.15,39.4525477676161,Ambient,Water,Acidovorax Sp,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA,Proteobacteria,ectotherm,carnivore
2871,2.4E-13,-29.0581374715687,Maximum Speed,0.0001609,9.43327582133719E-05,21,294.15,39.4525477676161,Ambient,Water,Acidovorax Sp,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA,Proteobacteria,ectotherm,carnivore
2872,1E-14,-32.2361913019166,Maximum Speed,1.5E-06,8.41975758261277E-07,21.5,294.65,39.3855996125717,Ambient,Water,Escherichia coli,Bacteria,Proteobacteria,Gamma Proteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,E. coli,ectotherm,carnivore
2873,1E-14,-32.2361913019166,Routine Accleration,7E-05,3.92922020521929E-05,21.5,294.65,39.3855996125717,Ambient,Water,Escherichia coli,Bacteria,Proteobacteria,Gamma Proteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,E. coli,ectotherm,carnivore
2874,1381640,14.1387817573353,Minimum Turn Radius,0.73,0.114001522652758,37,310.15,37.4172720485064,Body-Direct,Water,Delphinapterus leucas,Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,Delphinapterus,leucas,Chicken Butt,Endotherm,Carnivore
2876,160000,11.982929094216,Minimum Turn Radius,0.63,0.098384875714024,37,310.15,37.4172720485064,Body-Direct,Water,Inia geoffrensis,Animalia,Chordata,Mammalia,Cetartiodactyla,Iniidae,Inia,geoffrensis,Pink River dolphin,Endotherm,Carnivore
2877,160000,11.982929094216,Angular Speed,85.5,13.3522331326176,37,310.15,37.4172720485064,Body-Direct,Water,Inia geoffrensis,Animalia,Chordata,Mammalia,Cetartiodactyla,Iniidae,Inia,geoffrensis,Pink River dolphin,Endotherm,Carnivore
2878,155000,11.9511803959014,Minimum Turn Radius,1.61,0.251428015713618,37,310.15,37.4172720485064,Body-Direct,Water,Lagenorhynchus obliquidens,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,obliquidens,Pacific white-sided dolphin,Endotherm,Carnivore
2879,155000,11.9511803959014,Angular Speed,225,35.1374556121515,37,310.15,37.4172720485064,Body-Direct,Water,Lagenorhynchus obliquidens,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,obliquidens,Pacific white-sided dolphin,Endotherm,Carnivore
2880,0.115,-2.16282315061889,Angular Speed,94.48,72.1437009171697,18,291.15,39.8590655189568,Ambient,Water,Lithobates pipiens,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern Leopard Frog,ectotherm,carnivore
2881,0.239,-1.43129172705063,Maximum Speed,0.0841,0.055250945028821,19.7,292.85,39.6276828610014,Ambient,Water,Hyla chrysoscelis,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's Grey Treefrog,ectotherm,carnivore
2882,7.5,2.01490302054226,Maximum Speed,7.3,1.14001522652758,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus p. pipistrellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,Common pipistrellus,endotherm,carnivore
2883,7.5,2.01490302054226,Routine Speed,5.7,0.890148875507839,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus p. pipistrellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,Common pipistrellus,endotherm,carnivore
2884,7.5,2.01490302054226,Maximum Speed,6.3,0.983848757140243,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus p. mediterraneus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,p. mediterraneus,Common pipistrellus,endotherm,carnivore
2885,7.5,2.01490302054226,Routine Speed,3.6,0.562199289794425,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus p. mediterraneus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,p. mediterraneus,Common pipistrellus,endotherm,carnivore
2886,7.5,2.01490302054226,Maximum Speed,7.3,1.14001522652758,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus kuhlii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,Kuhl's pipistrelle,endotherm,carnivore
2887,7.5,2.01490302054226,Routine Speed,4.6,0.718365759181765,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus kuhlii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,Kuhl's pipistrelle,endotherm,carnivore
2888,7.5,2.01490302054226,Maximum Speed,8.3,1.29618169591492,37,310.15,37.4172720485064,Body-Direct,Air,Pipistrellus nathusii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,Nathusius's pipistrelle,endotherm,carnivore
2889,11.7,2.45958884180371,Routine Speed,4.2,0.655899171426829,37,310.15,37.4172720485064,Body-Direct,Air,Glossophaga soricina,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,soricina,Pallas's long-tongued bat,endotherm,carnivore
2890,23,3.13549421592915,Maximum Speed,9.2,1.43673151836353,37,310.15,37.4172720485064,Body-Direct,Air,Leptonycteris curasoae,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Southern long-nosed bat,endotherm,herbivore
2891,23,3.13549421592915,Routine Speed,5.3,0.827682287752903,37,310.15,37.4172720485064,Body-Direct,Air,Leptonycteris curasoae,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Southern long-nosed bat,endotherm,herbivore
2892,31,3.43398720448515,Routine Speed,7.7,1.20248181428252,37,310.15,37.4172720485064,Body-Direct,Air,Lasiurus cinereus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,cinereus,Hoary bat,endotherm,carnivore
2893,13,2.56494935746154,Routine Speed,6.7,1.04631534489518,37,310.15,37.4172720485064,Body-Direct,Air,Lasiurus borealis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,borealis,Eastern red bat,endotherm,carnivore
2894,101,4.61512051684126,Routine Speed,5.83,0.910450516528193,37,310.15,37.4172720485064,Body-Direct,Air,Phyllostomus hastatus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Greater spear-nose bat,endotherm,omnivore
2895,87,4.46590811865458,Routine Speed,3.61,0.563760954488298,37,310.15,37.4172720485064,Body-Direct,Air,Phyllostomus hastatus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Greater spear-nose bat,endotherm,omnivore
2896,8.7,2.16332302566054,Routine Speed,3.12,0.487239384488501,37,310.15,37.4172720485064,Body-Direct,Air,Glossophaga commissarisi,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,commissarisi,Commissaris's long-tongued bat,endotherm,herbivore
2897,12.6,2.53369681395743,Routine Speed,3.39,0.529404331223083,37,310.15,37.4172720485064,Body-Direct,Air,Glossophaga soricina,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,soricina,Pallas's long-tongued bat,endotherm,carnivore
2898,16.5,2.80336038090653,Routine Speed,3.31,0.516911013672096,37,310.15,37.4172720485064,Body-Direct,Air,Glossophaga longirostris,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,longirostris,Miller's long-tongued bat,endotherm,herbivore
2899,8.1,2.09186406167839,Routine Speed,5.26,0.821435628977409,37,310.15,37.4172720485064,Body-Direct,Air,Hylonycteris underwoodi,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Hylonycteris,underwoodi,Underwood's long-tongued bat,endotherm,herbivore
2900,3.7,1.30833281965018,Routine Speed,2.58,0.402909491019338,37,310.15,37.4172720485064,Body-Direct,Air,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated Hummingbird,endotherm,herbivore
2901,71.6,4.2710950739666,Routine Speed,9,1.40549822448606,37,310.15,37.4172720485064,Body-Direct,Air,Pastor roseus,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Pastor,roseus,Rosy Starling,endotherm,omnivore
2902,71.6,4.2710950739666,Maximum Speed,14,2.18633057142276,37,310.15,37.4172720485064,Body-Direct,Air,Pastor roseus,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Pastor,roseus,Rosy Starling,endotherm,omnivore
2903,3700,8.21608809863232,Routine Speed,8.7,1.35864828366986,37,310.15,37.4172720485064,Body-Direct,Air,Macronectes halli,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,halli,Northern giant petrel,endotherm,carnivore
2904,4600,8.43381158247719,Routine Speed,4,0.624665877549361,37,310.15,37.4172720485064,Body-Direct,Air,Macronectes halli,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,halli,Northern giant petrel,endotherm,carnivore
